Customer ID,Purchase Date,Product Category,Product Price,Quantity,Total Purchase Amount,Payment Method,Customer Age,Returns,Customer Name,Age,Gender,Churn
25337,2020-01-01 00:15:00,Home,32,2,2525,Cash,42,0,Justin Sanchez,42,Female,0
32242,2020-01-01 00:15:15,Home,161,5,2788,PayPal,60,1,Rebecca Mcdaniel,60,Female,1
14853,2020-01-01 00:22:42,Books,93,2,690,PayPal,53,0,Pamela Mcdowell,53,Male,0
32581,2020-01-01 00:31:11,Clothing,375,1,2368,PayPal,21,,Janice Oconnor,21,Female,1
16006,2020-01-01 00:34:38,Electronics,125,1,1649,Credit Card,37,1,Brian Williams,37,Female,0
43772,2020-01-01 00:38:59,Books,286,3,2870,Cash,65,1,Taylor Thomas,65,Male,0
35420,2020-01-01 00:48:59,Electronics,430,5,1165,Cash,21,0,Sherri Perez,21,Female,1
14097,2020-01-01 00:51:33,Clothing,293,1,4904,Credit Card,70,0,Elizabeth Jarvis,70,Male,0
20141,2020-01-01 01:02:42,Clothing,319,4,5142,Cash,57,0,Chelsea Ellison,57,Female,0
11668,2020-01-01 01:07:45,Electronics,369,1,3385,Credit Card,60,1,Michelle Blake,60,Male,0
49333,2020-01-01 01:08:23,Books,149,2,3154,Credit Card,37,1,Dana Gordon MD,37,Male,0
49028,2020-01-01 01:18:30,Home,103,3,4461,PayPal,45,1,Erin Barnett,45,Female,0
8735,2020-01-01 01:38:01,Home,109,3,3502,PayPal,39,,Amy Hansen,39,Female,1
45787,2020-01-01 01:38:08,Clothing,243,1,2064,Credit Card,58,,Vanessa Edwards,58,Male,1
38571,2020-01-01 01:47:29,Home,309,2,3406,PayPal,18,1,Heidi Johnson,18,Male,0
16571,2020-01-01 01:53:38,Home,282,3,5110,PayPal,70,0,Kevin Ortiz,70,Female,1
9146,2020-01-01 01:59:05,Clothing,411,5,2104,Credit Card,28,0,Anne Chapman,28,Male,0
8514,2020-01-01 02:02:01,Books,172,1,2069,Crypto,38,0,Joseph Fuentes,38,Female,0
2513,2020-01-01 02:11:02,Home,340,5,3856,Crypto,66,0,Kevin Coleman,66,Female,0
43644,2020-01-01 02:11:21,Electronics,68,5,3420,PayPal,52,0,Paul Flores,52,Female,0
3420,2020-01-01 02:29:41,Electronics,493,2,5077,Cash,68,0,Heather Turner,68,Female,1
15539,2020-01-01 02:30:09,Clothing,464,1,1143,Credit Card,51,0,Courtney Reyes,51,Male,0
16100,2020-01-01 02:34:21,Electronics,159,3,2719,Credit Card,52,,Jeffrey Navarro,52,Female,0
6679,2020-01-01 02:38:37,Books,134,1,1059,Credit Card,60,1,Alyssa Anderson,60,Male,1
4142,2020-01-01 02:43:23,Books,351,4,3430,Crypto,55,0,Jennifer Serrano,55,Female,0
24355,2020-01-01 02:49:12,Electronics,340,5,3484,PayPal,41,0,Brian Ortega,41,Male,0
25004,2020-01-01 02:51:12,Home,415,4,5104,Credit Card,25,1,Rodney Adams,25,Male,0
8291,2020-01-01 02:55:59,Electronics,45,1,3343,Credit Card,20,1,Alyssa Johnson,20,Female,0
20780,2020-01-01 02:59:20,Books,197,4,1417,Credit Card,50,0,Dean Everett,50,Female,1
47437,2020-01-01 03:03:59,Clothing,289,5,4837,Credit Card,42,1,Lori Tucker,42,Male,0
9676,2020-01-01 03:04:58,Electronics,488,2,3976,PayPal,30,0,Ryan Luna,30,Female,0
10914,2020-01-01 03:19:56,Books,420,4,2114,PayPal,48,0,Angela Bradley,48,Female,0
47559,2020-01-01 03:41:25,Clothing,378,1,988,Credit Card,27,0,Brittany Miller,27,Male,0
18115,2020-01-01 03:50:29,Electronics,317,5,1245,PayPal,41,,Lori Edwards,41,Male,0
5936,2020-01-01 03:53:31,Clothing,483,2,4694,PayPal,47,0,Willie Griffin,47,Female,1
17316,2020-01-01 03:56:52,Books,128,4,1994,Credit Card,24,0,Bradley Buckley,24,Male,0
17702,2020-01-01 04:12:25,Clothing,52,1,3806,Credit Card,43,0,Gabriel Brown,43,Female,1
12907,2020-01-01 04:13:21,Electronics,206,4,3563,Credit Card,32,1,Dustin Moses,32,Female,0
8257,2020-01-01 04:13:42,Books,435,5,5140,PayPal,65,1,Daniel Rodriguez,65,Female,1
38007,2020-01-01 04:29:26,Electronics,339,4,893,PayPal,24,1,Aaron Walker,24,Male,0
1856,2020-01-01 04:33:31,Clothing,138,3,995,PayPal,53,0,Vanessa Lewis,53,Male,0
8654,2020-01-01 04:51:00,Clothing,406,2,423,Credit Card,63,1,Robert Payne,63,Female,1
31876,2020-01-01 05:01:15,Clothing,165,1,783,PayPal,41,,Luke Bennett,41,Male,0
